2026-03-06 16:05:24 - PERF - test_metric: 123.4500 ms | ticker=SPY | operation=test
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0060 seconds | rows_built=1 | tickers_available=1
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=1
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0060 seconds | rows_built=1 | tickers_available=1
2026-03-20 10:05:50 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=180
2026-03-20 10:05:50 - PERF - vol_table_build_total: 0.1050 seconds | rows_built=3 | tickers_available=3
2026-03-20 10:05:51 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=180
2026-03-20 10:05:51 - PERF - vol_table_build_total: 0.0100 seconds | rows_built=3 | tickers_available=3
2026-03-20 10:05:51 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=180
2026-03-20 10:05:51 - PERF - vol_table_build_total: 0.0241 seconds | rows_built=3 | tickers_available=3
2026-03-20 10:05:51 - PERF - vol_table_batch_fetch: 0.0120 seconds | tickers=14 | history_records=2520
2026-03-20 10:05:51 - PERF - vol_table_build_total: 0.0347 seconds | rows_built=14 | tickers_available=14
2026-03-20 10:14:59 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=112
2026-03-20 10:14:59 - PERF - vol_table_build_total: 0.0475 seconds | rows_built=14 | tickers_available=14
2026-03-20 10:15:00 - PERF - vol_table_batch_fetch: 0.0030 seconds | tickers=14 | history_records=180
2026-03-20 10:15:00 - PERF - vol_table_build_total: 0.0237 seconds | rows_built=3 | tickers_available=3
2026-03-20 10:15:00 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=180
2026-03-20 10:15:00 - PERF - vol_table_build_total: 0.0102 seconds | rows_built=3 | tickers_available=3
2026-03-20 10:15:01 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=180
2026-03-20 10:15:01 - PERF - vol_table_build_total: 0.0724 seconds | rows_built=3 | tickers_available=3
2026-03-20 10:15:01 - PERF - vol_table_batch_fetch: 0.0110 seconds | tickers=14 | history_records=2520
2026-03-20 10:15:01 - PERF - vol_table_build_total: 0.0320 seconds | rows_built=14 | tickers_available=14
2026-03-20 10:15:01 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=5
2026-03-20 10:15:01 - PERF - vol_table_build_total: 0.0078 seconds | rows_built=5 | tickers_available=5
2026-03-20 10:15:01 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=1
2026-03-20 10:15:01 - PERF - vol_table_build_total: 0.0061 seconds | rows_built=1 | tickers_available=1
2026-03-20 10:15:01 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=150
